2018/11/28 12:14:30 [error] 9#9: *16 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/12/03 11:22:39 [error] 9#9: *4 open() "/var/www/instreet/media/wysiwyg/categoryBanner/erkek.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/erkek.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:22:39 [error] 9#9: *6 open() "/var/www/instreet/media/wysiwyg/categoryBanner/kadin.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/kadin.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:22:40 [error] 9#9: *1 open() "/var/www/instreet/media/wysiwyg/categoryBanner/cocuk.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/cocuk.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:22:40 [error] 9#9: *6 open() "/var/www/instreet/media/wysiwyg/categoryBanner/giyim.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/giyim.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:22:40 [error] 9#9: *1 open() "/var/www/instreet/media/wysiwyg/categoryBanner/aksesuar.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/aksesuar.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:40:35 [error] 9#9: *9 open() "/var/www/instreet/media/wysiwyg/categoryBanner/erkek.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/erkek.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:40:35 [error] 9#9: *12 open() "/var/www/instreet/media/wysiwyg/categoryBanner/kadin.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/kadin.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:40:35 [error] 9#9: *10 open() "/var/www/instreet/media/wysiwyg/categoryBanner/cocuk.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/cocuk.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:40:35 [error] 9#9: *12 open() "/var/www/instreet/media/wysiwyg/categoryBanner/giyim.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/giyim.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:40:35 [error] 9#9: *12 open() "/var/www/instreet/media/wysiwyg/categoryBanner/aksesuar.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/aksesuar.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:43:30 [error] 9#9: *14 open() "/var/www/instreet/media/wysiwyg/categoryBanner/erkek.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/erkek.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:43:30 [error] 9#9: *15 open() "/var/www/instreet/media/wysiwyg/categoryBanner/kadin.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/kadin.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
